,Data,User,Pesan,Saham,Jam,Tanggal
56,57,Kaanz',"Membalas : Semoga kyk arto 4x.lipat 
Iyak pak asal jngan kayak BNBA  , setalh naik pesat dihajar  ","ARTO,BNBA",7:59:22 PM,Tuesday April 6 2021
57,58,Aho Lie,"Membalas : Masa ihsg merah ini ijo, semoga kalo indeks ijo ini masih tebel ijo
Justru itu makin tebel ijonya cent       
Semoga kyk arto 4x.lipat ","ARTO,CENT,MASA",7:56:31 PM,Tuesday April 6 2021
58,59,Kaanz',"Membalas : Hajar terus bursa klo sinyal bilg untung  
Masa ihsg merah ini ijo, semoga kalo indeks ijo ini masih tebel ijo ",MASA,7:55:53 PM,Tuesday April 6 2021
59,60,Maimunah,"Membalas : Ga masuk akal itu Bank Net, ipo harga 135
Asal ada tkg goreng apapun jd enak dimakan ",BANK,7:54:03 PM,Tuesday April 6 2021
60,61,Safrudin Kurniawan,"Ga masuk akal itu Bank Net, ipo harga 135",BANK,7:51:14 PM,Tuesday April 6 2021
61,62,David,Bank hebaty,BANK,7:50:28 PM,Tuesday April 6 2021
62,63,Lee Khong Huan,"Beda nasib isu digital bank. Yg satu lepas dari hukuman, tidak dirajam (atau belum aja ya?).
Yg satu dibantai tiada akhir (apakah ini rekor ARB berturutan?)
Ini adalah foto","BANK,SATU",7:48:29 PM,Tuesday April 6 2021
63,64,Kaanz',"Membalas : CENT perjalanan masih panjang, TP terus masuk lagi juga bisa jadi strategi valid. Saya tadi TP sebagian di 290 dan mungkin besok
    mantul pak benhan memang si CENT ini saya buat jangka menengah  dari kemaren tektokan disitu aja saya tutup porto ijo merah"" merah , tapi masih cuan",CENT,7:15:34 PM,Tuesday April 6 2021
64,65,Aho Lie,"Membalas : CENT perjalanan masih panjang, TP terus masuk lagi juga bisa jadi strategi valid. Saya tadi TP sebagian di 290 dan mungkin besok
  setuju pak",CENT,7:06:02 PM,Tuesday April 6 2021
65,66,Benhan,"Membalas : Saya lepas kalo jebol situ pak eh ternyata di tarik balik , dari minus jadi ijo lagi, tapi untungnya di buat nutupin saham la
CENT perjalanan masih panjang, TP terus masuk lagi juga bisa jadi strategi valid. Saya tadi TP sebagian di 290 dan mungkin besok masuk lagi kalau pullback",CENT,7:05:26 PM,Tuesday April 6 2021
66,67,Faliq H,"Membalas : Hahaha pak faliq juga ikutan , cent penyelamat porto 
Iya tapi pas diswing ke 266 bikin deg2ser, eh siangnya ditarik  ",CENT,6:58:48 PM,Tuesday April 6 2021
67,68,Aho Lie,"Membalas : Hahaha pak faliq juga ikutan , cent penyelamat porto 
Bener pembalikan dari rugi jd untung ",CENT,6:56:39 PM,Tuesday April 6 2021
68,69,Kaanz',"Membalas : Ayuk tak temenin, meskipun avg bawah tapi diayun2 sedep juga ya
Hahaha pak faliq juga ikutan , cent penyelamat porto ",CENT,6:53:23 PM,Tuesday April 6 2021
69,70,Faliq H,"Membalas : Sama , swing aku om target masih jauh, sambil nunggu corporate action cent
Ayuk tak temenin, meskipun avg bawah tapi diayun2 sedep juga ya  ",CENT,6:52:09 PM,Tuesday April 6 2021
70,71,Aho Lie,"Membalas : Sama , swing aku om target masih jauh, sambil nunggu corporate action cent
   
Membalas : Sama , swing aku om target masih jauh, sambil nunggu corporate action cent
Sekali mendayung 2 ,3 pulau mudah2an terlampaui  ",CENT,6:41:42 PM,Tuesday April 6 2021
71,72,Kaanz',"Membalas : 2 hr gak Tp cumen tambah muatan dikit2 
Sama , swing aku om target masih jauh, sambil nunggu corporate action cent",CENT,6:41:19 PM,Tuesday April 6 2021
72,73,Aho Lie,"Membalas : Ijo atau merah om , CENT ku masih ijo nih 
Ijo tunggu besok lebh ijo lg  ",CENT,6:39:16 PM,Tuesday April 6 2021
73,74,Kaanz',"Ijo atau merah om , CENT ku masih ijo nih ",CENT,6:38:34 PM,Tuesday April 6 2021
74,75,Benhan,"Mantap banget nih Vibration Law-nya Mas @JuthaBram  
Membalas : Photo
Saudaranya ASSA panen besar hari ini. Besok giliran ESSA?","ASSA,ESSA",6:25:47 PM,Tuesday April 6 2021
75,76,Vasco,"Membalas : ANTM balik ke 2700 om  
Bert ni mah",ANTM,6:21:57 PM,Tuesday April 6 2021
76,77,Kaanz',"Membalas : Photo
ANTM balik ke 2700 om  ",ANTM,6:19:34 PM,Tuesday April 6 2021
77,78,Restu Putra,"Email deviden ARNA sudah masuk tapi uangnya belum masuk RDN kenapa ya.....suhu..
",ARNA,6:11:19 PM,Tuesday April 6 2021
78,79,Muhammad Rozali,"ESSA
Ini adalah foto
",ESSA,5:31:28 PM,Tuesday April 6 2021
79,80,Jee Satya MantabBro,"Membalas : pantesan buy wmuu di harga terakhir sblum penutupan, td ga ada yg nyambar
Brati mau naik tu om, biasanya lho ya..., saya gak amati soalnya. Tapi kalo langsung sketika bunyi clangg dan masuk, sudah dipastikan besok turun hihi",WMUU,5:27:03 PM,Tuesday April 6 2021
80,81,Amir Muhammad,"Membalas : Anda mau test besok saham yg anda beli akan turun, caranya: ketika mau penutupan kan masih terbuka jam 3 sore. Anda coba misal b
pantesan buy wmuu di harga terakhir sblum penutupan, td ga ada yg nyambar",WMUU,5:25:20 PM,Tuesday April 6 2021
81,82,Parlin Hutapea,"Membalas : Abg2 mau nanya kalo uang kita di rdn Itu dibiarin (idle) gitu, ada charge nya ga ya?
Malah dapat bunga kalau di BCA
",UANG,4:27:22 PM,Tuesday April 6 2021
82,83,RBTAN59,"Membalas : ABBA kenapa ya bisa terbang
di suruh om Erick Tohir x Om  ",ABBA,3:58:19 PM,Tuesday April 6 2021
83,84,Carlo Micelli,"Membalas : ITMG dividen per lembar Rp.411, dividen interim Rp.307 sisanya dibagikan Rp.104 Cum : 15Apr ExDate : 16Apr
Maaf ini kelihatannya salah info ya
Td saya mau bertanya apa benar atau tidak ini  ",ITMG,3:51:21 PM,Tuesday April 6 2021
84,85,Muhammad Repi,Pyfa mulai naik di penutupan sesi,PYFA,3:49:00 PM,Tuesday April 6 2021
85,86,Bow,"Masih belajar gambar.. Kemarin ada coret"" PWON juga pak.. Potensi IHnS tapi masih jauh kalo mau confirm..
Ini adalah foto",PWON,3:42:06 PM,Tuesday April 6 2021
86,87,Wandi,"Pwon candlenya 2 doji sama engulfing bullish
Ini adalah foto
",PWON,3:34:25 PM,Tuesday April 6 2021
87,88,Rey,MARI sepertinya mau menembuss ath nyaa,MARI,3:25:27 PM,Tuesday April 6 2021
